text,how many years with backend technologies
text,how many years of work experience do you have with javascript?
text,how many years of work experience do you have with wordpress?
text,how many years of work experience do you have with woocommerce?
text,how many years with backend technologies
text,how many years of work experience do you have with wordpress?
text,how many years of work experience do you have with communication?
text,how many years of work experience do you have with usability?
text,city
text,street address line 1
text,street address line 2
text,city
text,zip / postal code
text,"what is your total years of exp into vulkan, hlsl/directx/direct3d, opengl, shaders?"
text,what is your current ctc?
text,what is your expected ctc?
text,"what is your official notice period (mention lwd, if serving)?"
text,summary
text,headline
text,street address line 1
text,street address line 2
text,city
text,zip / postal code
text,cover letter
text,cover letter
text,are you eligible to work in the country that the role is listed?
text,why do you think you’d be a good fit for the role based on the requirements listed?
text,what interests you about working for builder?
radio,"do you have prior experince in b2b sales ?
required
yes
no
please enter a valid answer"
text,what is your current ctc ?
text,how soon will you be able to join?
text,do you have prior knowledge about cloud products ?
text,what is your expected ctc ?
text,how many years of work experience do you have with embedded c?
text,how many years of work experience do you have with arduino?
dropdown,are you comfortable with the night shift?
text,how many years of work experience do you have with material-ui?
text,how many years of work experience do you have with json web token (jwt)?
text,what is your current ctc (in inr lakh)?
text,what is your expected ctc (in inr lakh)?
text,¿cuántos años de experiencia tienes con have with react.js?
text,¿cuántos años de experiencia tienes con have with mongodb?
text,¿cuántos años de experiencia tienes con have with nosql?
text,how many years of work experience do you have with c#?
text,how many years of work experience do you have with angular
text,how many years of work experience do you have with mongo db
text,how many years of work experience do you have with .net core
text,how many years of work experience do you have with solid
text,street address line 1
text,street address line 2
text,city
text,zip / postal code
radio,"are you currently based in the netherlands or in the eu? and eligible to work there?
required
yes
no"
radio,"do you know anyone (family, relatives, friends) working with foodics?
required
yes
no"
text,why foodics? why you?
text,teléfono móvil
text,¿cuántos años de experiencia tienes con spring boot?
text,¿cuántos años de experiencia tienes con postgresql?
text,¿cuántos años de experiencia tienes con desarrollo java?
text,¿cuántos años de experiencia laboral tiene con google cloud platform (gcp)?
dropdown,"¿en gcp, tiene experiencia laboral con tópicos?"
text,¿cuáles son sus pretensiones de renta líquida mensual?
dropdown,"¿en gcp, tiene experiencia laboral con bucket?"
dropdown,"¿en gcp, tiene experiencia laboral con cloud endpoint?"
dropdown,"¿en gcp, tiene experiencia laboral con google kubernetes engine?"
dropdown,"¿en gcp, tiene experiencia laboral con functions?"
text,¿cuántos años de experiencia laboral tiene con angular?
text,¿cuántos años de experiencia laboral tiene con jenkins?
text,¿cuántos años de experiencia laboral tiene con bitbucket?
text,¿cuántos años de experiencia laboral tiene con liquibase?
text,how many years of work experience do you have with cypress?
text,how many years of work experience do you have with rest apis?
text,how many years of work experience do you have with react.js?
text,what's your expected monthly compensation for this role?
text,how many years of work experience do you have with apache kafka?
text,street address line 1
text,street address line 2
text,city
text,zip / postal code
text,cover letter
text,cover letter
radio,"are you familiar with the software craftsmanship movement?
required
yes
no"
radio,"do you already have all the required documentation to work in spain?
required
yes
no"
text,street address line 1
text,city
text,state
text,zip / postal code
text,city
text,summary
text,street address line 1
text,street address line 2
text,city
text,zip / postal code
text,city
text,city
text,street address line 1
text,city
text,state
text,zip / postal code
text,why do you think you would be the best fit for the role you are applying for? why should we select you and why do you want to select us?
text,"for creative and development positions, please include a link to your folio."
text,what is your notice period with your current employer?
text,"do you have any plans in the next six months that will require you to take a leave for couple of days or months? if so, please list the dates."
text,street address line 1
text,city
text,zip / postal code
text,state
text,cover letter
text,cover letter
text,what languages do you speak fluently?
radio,"are you located in north america, south america or europe?
required
yes
no"
text,city
text,street address line 1
text,city
text,state
text,zip / postal code
text,city
text,city
text,how many years of work experience do you have with python (programming language)?
text,how many years of work experience do you have with react.js?
text,city
text,city
text,city
text,city
text,city
text,city
text,city
text,city
text,city
text,city
text,city
text,city
